year,week_index,week_start,week_label,pas,walks,walk_rate,ci_low,ci_high
2025,0,2025-03-27,Mar 27,6932,625,0.09016156953260242,0.08384120432619678,0.09664245120044047
2025,1,2025-04-03,Apr 03,6769,630,0.09307135470527404,0.0852375045859431,0.10036949836649896
2025,2,2025-04-10,Apr 10,6623,589,0.08893250792692134,0.08101083432725029,0.09708656370784884
2025,3,2025-04-17,Apr 17,7025,628,0.08939501779359431,0.08261097960955638,0.0956339537116408
2025,4,2025-04-24,Apr 24,6957,601,0.08638781083800488,0.07915420694965258,0.09328561110251252
2025,5,2025-05-01,May 01,7164,606,0.08458961474036851,0.07905086693138313,0.09122885151731203
2025,6,2025-05-08,May 08,4934,406,0.08228617754357519,0.07576990313141226,0.08980172640111225
2026,0,2026-03-27,Mar 27,6162,592,0.09607270366764038,0.08886633917452012,0.10296213965684937
2026,1,2026-04-03,Apr 03,7166,736,0.10270722857940273,0.09444186875096747,0.10982161561406711
2026,2,2026-04-10,Apr 10,7220,706,0.09778393351800554,0.08950346098112102,0.10566240827137673
2026,3,2026-04-17,Apr 17,7293,673,0.09228026875085699,0.0845850127886004,0.1005844630759045
2026,4,2026-04-24,Apr 24,6953,637,0.09161513015964332,0.084886559490142,0.09770699087835066
2026,5,2026-05-01,May 01,7117,654,0.09189265139806098,0.08414798283476932,0.10013974579980155
2026,6,2026-05-08,May 08,4844,426,0.087943848059455,0.08033742312491941,0.09621936091455624
