season,pitcher,starts_full
2022,425794,32
2022,425844,26
2022,434378,28
2022,434671,14
2022,445926,1
2022,446372,31
2022,448179,26
2022,450203,31
2022,453286,23
2022,456501,24
2022,456713,6
2022,458681,21
2022,471911,29
2022,475479,1
2022,477132,22
2022,489119,8
2022,489334,1
2022,500779,32
2022,501381,11
2022,501985,19
2022,502042,25
2022,502043,31
2022,502171,28
2022,502179,19
2022,502624,7
2022,503449,1
2022,506433,30
2022,518397,4
2022,518516,30
2022,518585,2
2022,518876,33
2022,519242,2
2022,523260,1
2022,527048,32
2022,528748,9
2022,541640,2
2022,542881,28
2022,542888,3
2022,542947,1
2022,543037,33
2022,543101,5
2022,543135,20
2022,543243,24
2022,543294,16
2022,543475,32
2022,543606,22
2022,543766,2
2022,544931,1
2022,547001,2
2022,547179,18
2022,547943,6
2022,548389,24
2022,554430,26
2022,570632,17
2022,570666,10
2022,571479,1
2022,571578,31
2022,571710,1
2022,571760,14
2022,571800,18
2022,571927,10
2022,571945,32
2022,572070,2
2022,572971,14
2022,573186,25
2022,579328,20
2022,592332,31
2022,592346,5
2022,592351,24
2022,592662,32
2022,592716,19
2022,592717,10
2022,592761,1
2022,592767,22
2022,592789,24
2022,592791,32
2022,592826,9
2022,592836,29
2022,592866,9
2022,593334,14
2022,593423,27
2022,593958,17
2022,594577,3
2022,594798,11
2022,594835,32
2022,595191,1
2022,595881,5
2022,595939,2
2022,596001,17
2022,596043,1
2022,596057,3
2022,596071,4
2022,596133,1
2022,596295,17
2022,601713,33
2022,605135,30
2022,605154,11
2022,605164,29
2022,605182,22
2022,605200,27
2022,605288,21
2022,605397,30
2022,605400,32
2022,605483,24
2022,605488,25
2022,605507,22
2022,605538,5
2022,605540,27
2022,607074,31
2022,607192,2
2022,607200,27
2022,607259,10
2022,607455,1
2022,607536,31
2022,607644,2
2022,608331,30
2022,608337,30
2022,608344,30
2022,608379,23
2022,608566,31
2022,608638,3
2022,608652,2
2022,608717,1
2022,608723,17
2022,615698,32
2022,621051,1
2022,621076,26
2022,621107,13
2022,621111,12
2022,621112,21
2022,621121,8
2022,621219,2
2022,621244,32
2022,621249,1
2022,621368,13
2022,621389,1
2022,622065,1
2022,622072,26
2022,622250,1
2022,622491,25
2022,622503,1
2022,622608,19
2022,622663,19
2022,622694,10
2022,622786,2
2022,623167,22
2022,623451,1
2022,623474,1
2022,624133,29
2022,624522,17
2022,625643,1
2022,628711,31
2022,630023,1
2022,640444,1
2022,640455,28
2022,641154,32
2022,641302,17
2022,641329,2
2022,641447,7
2022,641482,28
2022,641540,29
2022,641672,1
2022,641712,26
2022,641726,8
2022,641745,22
2022,641771,27
2022,641778,29
2022,641816,23
2022,641927,11
2022,642028,3
2022,642100,1
2022,642231,1
2022,642232,9
2022,642545,1
2022,642547,17
2022,642701,1
2022,643290,7
2022,643410,4
2022,643493,1
2022,643615,3
2022,645261,32
2022,646242,3
2022,650530,4
2022,650644,20
2022,650911,3
2022,656222,7
2022,656302,32
2022,656353,11
2022,656354,3
2022,656412,12
2022,656420,2
2022,656427,8
2022,656457,7
2022,656546,1
2022,656557,4
2022,656605,29
2022,656629,25
2022,656657,10
2022,656685,1
2022,656686,2
2022,656731,9
2022,656756,32
2022,656793,2
2022,656794,1
2022,656818,4
2022,656849,19
2022,656876,28
2022,656954,1
2022,656970,12
2022,657006,24
2022,657024,1
2022,657053,2
2022,657093,20
2022,657140,30
2022,657240,1
2022,657248,27
2022,657277,32
2022,657376,3
2022,657508,4
2022,657571,1
2022,657649,5
2022,657746,27
2022,657756,5
2022,660271,28
2022,660593,1
2022,660623,2
2022,660730,5
2022,660761,20
2022,660813,1
2022,661269,8
2022,661309,12
2022,661440,1
2022,661563,1
2022,663372,19
2022,663378,1
2022,663436,9
2022,663455,11
2022,663460,27
2022,663474,30
2022,663485,3
2022,663554,2
2022,663556,28
2022,663559,16
2022,663629,2
2022,663734,1
2022,663738,27
2022,663752,5
2022,663753,1
2022,663765,1
2022,663773,1
2022,663776,27
2022,663855,8
2022,663903,24
2022,663978,5
2022,664062,24
2022,664123,1
2022,664141,28
2022,664161,5
2022,664285,31
2022,664294,1
2022,664299,25
2022,664337,1
2022,664353,28
