feature,permutation_importance,permutation_std,full_rank,reported_rank
preseason_prior_woba,0.0007866686777122452,8.472319069807949e-05,1,1
xwoba_minus_prior_woba_22g,0.00030426158904723607,3.841158216386509e-05,2,2
pa_22g,6.212981397656665e-05,1.515822334061347e-05,3,3
ev_p90_22g,2.2477951014802e-05,1.1471140306529777e-05,4,4
bb_rate_22g,9.616418380550828e-06,9.03281601054188e-06,5,5
k_rate_22g,8.567921021440134e-06,4.1463606474673325e-06,6,6
preseason_prior_iso,8.015379690514796e-06,7.152795754959699e-06,7,7
preseason_prior_k_rate,4.542697773137564e-06,7.0051953724778105e-06,8,8
ev_p90_resid_22g,3.89751196394352e-06,8.57764185187831e-06,9,9
xwoba_resid_22g,3.865281260569142e-06,6.672663909338809e-06,10,10
iso_22g,3.6884763057885083e-06,7.796955765308405e-06,11,11
barrel_rate_22g,3.120029962543279e-06,4.545472611440931e-06,12,12
hardhit_rate_22g,2.3817514125990024e-06,3.479905902185224e-06,13,13
hardhit_resid_22g,4.987179261050292e-07,6.509555913991202e-06,14,14
league_woba,0.0,0.0,15,15
league_bb_rate,0.0,0.0,16,16
league_k_rate,0.0,0.0,17,17
league_babip,0.0,0.0,18,18
league_iso,0.0,0.0,19,19
barrel_resid_22g,-3.229839561454385e-06,2.2220615425687647e-06,21,20
xwoba_22g,-5.3492670109422845e-06,6.535288712089197e-06,22,21
babip_22g,-1.475163920260222e-05,5.711366888906212e-06,24,22
