feature,permutation_importance,permutation_std,mean_abs_shap,perm_rank,shap_rank
pa_22g,0.0011295583746181324,0.0002944880433258145,0.0070832677665664135,1.0,1.0
preseason_prior_woba,0.0009458183925721623,0.0002504492433978494,0.005017080278426784,2.0,2.0
ev_p90_22g,0.0008148986917192284,0.00027788061902080585,0.004199861391207209,3.0,3.0
whiff_per_swing_22g,0.0003998480784787962,0.00014089402915704,0.0018329563099715163,4.0,8.0
xwoba_22g,0.0003140158490456129,0.0001460778956645732,0.0019092238478224442,5.0,7.0
preseason_prior_k_rate,0.00018121712192869927,5.188040197541292e-05,0.000709739498621782,6.0,19.0
barrel_rate_22g,0.00010595681399803644,0.00021320391698955856,0.002489643065274834,7.0,5.0
preseason_prior_iso,9.713491983789901e-05,8.248545851838153e-05,0.0009790907863274285,8.0,14.0
bb_rate_22g,7.942167100825857e-05,0.00010126378375565273,0.0009252277006744903,9.0,16.0
k_rate_22g,5.8941265263472846e-05,4.1595966286858366e-05,0.0004963616561635917,10.0,26.0
xwoba_minus_woba_22g,5.628430983352431e-05,8.691875828177306e-05,0.0006060749652266014,11.0,24.0
obp_22g,3.188295073630609e-06,3.899545135185174e-05,0.00037430007040022,12.0,29.0
avg_22g,1.4806681439385553e-06,6.055554872313751e-05,0.0005939053086732129,13.0,25.0
league_k_rate,0.0,0.0,0.0,16.0,32.0
league_woba,0.0,0.0,0.0013573911006921908,16.0,9.0
league_bb_rate,0.0,0.0,9.13819995398363e-05,16.0,30.0
league_babip,0.0,0.0,0.0,16.0,32.0
league_iso,0.0,0.0,0.0,16.0,32.0
swing_rate_22g,-1.1178091972754063e-06,5.284736066517735e-05,0.0004700575072696498,19.0,28.0
chase_rate_22g,-9.310335902453875e-06,6.466707248924349e-05,0.0006383684285631992,20.0,22.0
zone_rate_22g,-2.8625482404791292e-05,6.931256420966478e-05,0.0006526725600121835,21.0,21.0
ops_22g,-3.223379751854637e-05,6.458604968935541e-05,0.0009956762329944174,22.0,12.0
hardhit_rate_22g,-3.8305291817387664e-05,6.140752502527799e-05,0.0009387219301377888,23.0,15.0
pitches_per_pa_22g,-3.96014716588076e-05,0.0001475301177067438,0.002017737625549092,24.0,6.0
ev_mean_22g,-6.534934502162004e-05,8.590653647291317e-05,0.001063600709396622,25.0,11.0
woba_22g,-6.911399581142156e-05,9.219815198066823e-05,0.0009811994961002035,26.0,13.0
la_mean_22g,-7.547858713259081e-05,7.067583964086719e-05,0.0007617367244357381,27.0,18.0
babip_22g,-7.817235462748498e-05,7.127271117007104e-05,0.0006715923071581795,28.0,20.0
slg_22g,-8.139848748200466e-05,4.662917515972434e-05,0.00047536389107491993,29.0,27.0
hr_rate_22g,-0.00013180846569541202,4.9250388322388294e-05,0.0006086530742959152,30.0,23.0
iso_22g,-0.00015718370344091416,5.675115817374238e-05,0.000794618199518939,31.0,17.0
called_strike_rate_22g,-0.00018972374356699453,9.688252134433493e-05,0.0010637875688520207,32.0,10.0
ab_22g,-0.0002674561580915153,0.00017110213714302658,0.0031378257997849495,33.0,4.0
