feature,gain
pa_22g,3.672114087967202
preseason_prior_woba,2.6389108926523477
ev_p90_22g,1.3295019655488431
ab_22g,1.1545896204188466
xwoba_22g,1.040405621752143
barrel_rate_22g,0.9535758818965405
whiff_per_swing_22g,0.8036149207036942
pitches_per_pa_22g,0.797129318350926
called_strike_rate_22g,0.7544160627294332
bb_rate_22g,0.6397356113884598
preseason_prior_iso,0.6317944400943816
xwoba_minus_woba_22g,0.5695719183422625
la_mean_22g,0.5692618433386087
preseason_prior_k_rate,0.560647641774267
ev_mean_22g,0.5511295706965029
ops_22g,0.5352631192654371
chase_rate_22g,0.5284778494387865
woba_22g,0.49405312130693346
zone_rate_22g,0.471689639845863
swing_rate_22g,0.44087548716925085
