feature,permutation_importance,permutation_std
pa_22g,0.0011295583746181324,0.0002944880433258145
preseason_prior_woba,0.0009458183925721623,0.0002504492433978494
ev_p90_22g,0.0008148986917192284,0.00027788061902080585
whiff_per_swing_22g,0.0003998480784787962,0.00014089402915704
xwoba_22g,0.0003140158490456129,0.0001460778956645732
preseason_prior_k_rate,0.00018121712192869927,5.188040197541292e-05
barrel_rate_22g,0.00010595681399803644,0.00021320391698955856
preseason_prior_iso,9.713491983789901e-05,8.248545851838153e-05
bb_rate_22g,7.942167100825857e-05,0.00010126378375565273
k_rate_22g,5.8941265263472846e-05,4.1595966286858366e-05
xwoba_minus_woba_22g,5.628430983352431e-05,8.691875828177306e-05
obp_22g,3.188295073630609e-06,3.899545135185174e-05
avg_22g,1.4806681439385553e-06,6.055554872313751e-05
league_iso,0.0,0.0
league_babip,0.0,0.0
league_k_rate,0.0,0.0
league_bb_rate,0.0,0.0
league_woba,0.0,0.0
swing_rate_22g,-1.1178091972754063e-06,5.284736066517735e-05
chase_rate_22g,-9.310335902453875e-06,6.466707248924349e-05
zone_rate_22g,-2.8625482404791292e-05,6.931256420966478e-05
ops_22g,-3.223379751854637e-05,6.458604968935541e-05
hardhit_rate_22g,-3.8305291817387664e-05,6.140752502527799e-05
pitches_per_pa_22g,-3.96014716588076e-05,0.0001475301177067438
ev_mean_22g,-6.534934502162004e-05,8.590653647291317e-05
woba_22g,-6.911399581142156e-05,9.219815198066823e-05
la_mean_22g,-7.547858713259081e-05,7.067583964086719e-05
babip_22g,-7.817235462748498e-05,7.127271117007104e-05
slg_22g,-8.139848748200466e-05,4.662917515972434e-05
hr_rate_22g,-0.00013180846569541202,4.9250388322388294e-05
iso_22g,-0.00015718370344091416,5.675115817374238e-05
called_strike_rate_22g,-0.00018972374356699453,9.688252134433493e-05
ab_22g,-0.0002674561580915153,0.00017110213714302658
