umpire,n_total,n_bot,n_top,delta_spot7_vs_3_pp_med,delta_spot7_vs_3_pp_lo,delta_spot7_vs_3_pp_hi,p_dir_neg,delta_bot_vs_top_pp_med,delta_bot_vs_top_pp_lo,delta_bot_vs_top_pp_hi,p_dir_neg_bot,u_botslope_med,u_botslope_lo,u_botslope_hi,p_two_sided,q_bh,bh_significant_q10,ci_excludes_zero,abs_med_pp,flagged,direction
Mike Muchlinski,377,110,131,-0.2166468298570784,-3.206320852733324,1.728080076571218,0.5875,0.41906187175507204,-2.3959911994766805,2.0472621435986906,0.32375,-0.020804844525641342,-0.29905837360185655,0.11561630679953921,0.825,0.9950000000000002,False,False,0.2166468298570784,False,pro-tax
Austin Jones,326,116,121,-0.19787225151433052,-2.9633034129219644,1.8195592118712758,0.58,0.41240699503142797,-2.2902927523410397,1.8598374324182123,0.325,-0.023737003800850177,-0.2959778623885971,0.11016442447059127,0.8400000000000001,0.9950000000000002,False,False,0.19787225151433052,False,pro-tax
Nic Lentz,399,124,149,-0.1741519698273547,-3.4199659824335393,1.9628763591493759,0.55875,0.4625025357821416,-2.6506881751784546,2.1550725651223703,0.325,-0.021132218766784297,-0.30908151455674454,0.12240391365985641,0.8825000000000001,0.9950000000000002,False,False,0.1741519698273547,False,pro-tax
Rob Drake,428,154,147,-0.1741356721150611,-3.0347081135738794,1.9861034001460611,0.57375,0.5094980230622104,-2.368898200466465,2.020609269648688,0.30875,-0.017294475225851723,-0.2874759637176161,0.11848026207672457,0.8525,0.9950000000000002,False,False,0.1741356721150611,False,pro-tax
Ryan Blakney,367,108,150,-0.15454567193943225,-2.8857253010938138,1.7590904787749404,0.54875,0.4759661704165141,-2.155072170356363,2.0036177033817038,0.315,-0.01634039764280175,-0.3072578634735575,0.11288588690741619,0.9025000000000001,0.9950000000000002,False,False,0.15454567193943225,False,pro-tax
Alex MacKay,301,95,111,-0.12274694317658819,-3.0037934596627616,2.022473200128636,0.54875,0.5375800946750608,-2.3999805899497084,2.1214628345041144,0.29375,-0.014040646346937604,-0.2925488559663998,0.12731390132270382,0.9025000000000001,0.9950000000000002,False,False,0.12274694317658819,False,pro-tax
Tom Hanahan,303,77,113,-0.11237678929663653,-3.1811560016488003,1.995276148679715,0.545,0.5119625762427471,-2.266517243315236,2.3238219392057893,0.31,-0.01572145681063789,-0.28224520281433335,0.12741893467344512,0.9099999999999999,0.9950000000000002,False,False,0.11237678929663653,False,pro-tax
Chris Segal,340,100,137,-0.07049800088620994,-2.4001963871309053,1.8906764828297962,0.5275,0.5726027608112444,-1.8925620239181853,2.2189592336508244,0.26,-0.010700768664945607,-0.23824096073503262,0.1437003194764218,0.9450000000000001,0.9950000000000002,False,False,0.07049800088620994,False,pro-tax
Todd Tichenor,380,117,151,-0.04934149805501664,-2.9604979294296725,2.1594972546067805,0.515,0.6555218145748498,-2.252109988990075,2.2528582988242194,0.2625,-0.010308448726810155,-0.2669954509361415,0.13669126028938525,0.97,0.9950000000000002,False,False,0.04934149805501664,False,pro-tax
Will Little,450,137,177,-0.046631029465221685,-2.7634065588422594,2.1027000459732146,0.51375,0.6357142529056725,-1.9322710870890394,2.344017001762981,0.25125,-0.007367567480297699,-0.26641930371025574,0.14340666856265108,0.9724999999999999,0.9950000000000002,False,False,0.046631029465221685,False,pro-tax
Vic Carapazza,485,140,202,-0.039798080922326395,-2.652537289054034,2.1207484922142235,0.51875,0.5846535650959994,-1.9322580864178287,2.343630612926941,0.25125,-0.009072271091043011,-0.23583639570252068,0.1334646768879577,0.9624999999999999,0.9950000000000002,False,False,0.039798080922326395,False,pro-tax
Ryan Wills,326,96,130,-0.025182199988804665,-2.6286077361933105,2.256583682029269,0.50875,0.6030344079668515,-1.960095854798073,2.494673412929536,0.27875,-0.007790281908059644,-0.2597256619088197,0.1683338666603869,0.9824999999999999,0.9950000000000002,False,False,0.025182199988804665,False,pro-tax
Andy Fletcher,308,86,117,-0.017863585878702404,-2.5615613080501913,2.260504878187124,0.51,0.6380432383454648,-1.9660038695117021,2.558025280655356,0.24625,-0.009400024166299908,-0.2539697609620641,0.1785639860897078,0.98,0.9950000000000002,False,False,0.017863585878702404,False,pro-tax
Cory Blaser,231,63,92,-0.007743471410445735,-2.795679837943608,1.7848038248533873,0.5025,0.5615539604578168,-1.9434541623929382,2.0022041835604094,0.2475,-0.010095411037138761,-0.27320099356382743,0.1354724928420113,0.9950000000000001,0.9950000000000002,False,False,0.007743471410445735,False,pro-tax
Alex Tosi,322,119,114,0.009853217872712872,-2.3146146648487584,2.1593399388369665,0.49375,0.6391050763088157,-1.4648499064174914,2.416727845008649,0.22,-0.006213097798278746,-0.21347843525451174,0.17619966179290864,0.9875,0.9950000000000002,False,False,0.009853217872712872,False,reverse
